,model,max_depth,n_bits,n_features,training_time,compilation_time,prediction_time,accuracy,f1
0,FHEDecisionTreeClassifier,3,2,5,0.08129787499999974,0.8719987920000003,101.930888291,0.68,0.550561797752809
1,FHEDecisionTreeClassifier,3,2,6,0.07897820800000943,0.7945693329999983,97.358452917,0.712,0.5764705882352941
2,FHEDecisionTreeClassifier,3,2,7,0.07339675000000057,0.8269747910000262,99.98837104200001,0.716,0.6203208556149733
3,FHEDecisionTreeClassifier,3,2,8,0.06970000000001164,0.7365377919999787,98.356152625,0.732,0.6127167630057804
4,FHEDecisionTreeClassifier,3,2,9,0.07190791599998647,0.8072104580000428,98.65581179200001,0.692,0.5443786982248521
5,FHEDecisionTreeClassifier,3,2,10,0.0753804999999943,0.8661500000000046,97.85950516700007,0.668,0.5699481865284974
6,FHEDecisionTreeClassifier,3,2,11,0.07955437499992968,0.9286499589999266,97.76521466700001,0.716,0.5942857142857143
7,FHEDecisionTreeClassifier,3,2,12,0.0777972089999821,0.7903175000000147,99.20057033299997,0.736,0.625
8,FHEDecisionTreeClassifier,3,2,13,0.09695866699996714,0.8664346250000108,97.79931516600004,0.688,0.5411764705882353
9,FHEDecisionTreeClassifier,3,2,14,0.08747799999991912,0.8720570000000407,100.59197929200002,0.764,0.6467065868263473
10,FHEDecisionTreeClassifier,3,2,15,0.08386212499999601,0.8629344170000195,99.23172266600011,0.696,0.5529411764705883
11,FHEDecisionTreeClassifier,3,2,16,0.08849458300005608,0.8401917080000203,99.60934954200002,0.688,0.5666666666666667
12,FHEDecisionTreeClassifier,3,2,17,0.09303904200010038,0.7607483750000483,100.24895379200007,0.704,0.5934065934065934
13,FHEDecisionTreeClassifier,3,2,18,0.16274166700009118,0.9126545840001654,100.37433045800003,0.712,0.5862068965517241
14,FHEDecisionTreeClassifier,3,2,19,0.25718637499994657,0.98759908299985,100.87161274999994,0.688,0.5666666666666667
15,FHEDecisionTreeClassifier,3,3,5,0.07276945800003887,0.7542432919999555,102.47099820800008,0.86,0.8727272727272727
16,FHEDecisionTreeClassifier,3,3,6,0.06081037500007369,0.624583457999961,102.59068266700001,0.832,0.8444444444444444
17,FHEDecisionTreeClassifier,3,3,7,0.0670858749999752,0.8259312920001776,102.60742416599987,0.84,0.8581560283687943
18,FHEDecisionTreeClassifier,3,3,8,0.057251292000046305,0.7981454589998975,101.5997034999998,0.828,0.8389513108614233
19,FHEDecisionTreeClassifier,3,3,9,0.07287412499999846,0.7077028749999954,104.20824483399997,0.852,0.8634686346863468
20,FHEDecisionTreeClassifier,3,3,10,0.08205625000005057,0.6209107909999148,105.4511833749998,0.84,0.863013698630137
21,FHEDecisionTreeClassifier,3,3,11,0.07548629100028847,0.7181269170000633,106.34053962500002,0.832,0.8455882352941176
22,FHEDecisionTreeClassifier,3,3,12,0.13324150000016743,0.6402222500000789,105.62625454199997,0.832,0.8432835820895522
23,FHEDecisionTreeClassifier,3,3,13,0.08429412500026956,0.7979745830002685,106.0785690419998,0.872,0.8805970149253731
24,FHEDecisionTreeClassifier,3,3,14,0.08678920800002743,0.7041281249998974,106.84138954200034,0.8,0.8076923076923077
25,FHEDecisionTreeClassifier,3,3,15,0.11302991599995948,0.6016940839999734,105.10542583300003,0.88,0.8837209302325582
26,FHEDecisionTreeClassifier,3,3,16,0.13721958399992218,0.9993378750000375,105.8523369999998,0.832,0.8489208633093526
27,FHEDecisionTreeClassifier,3,3,17,0.15017966699997487,0.6264365000001817,108.28378891700004,0.84,0.8561151079136691
28,FHEDecisionTreeClassifier,3,3,18,0.23443016700002772,0.7663485829998535,106.35488029099997,0.828,0.8377358490566038
29,FHEDecisionTreeClassifier,3,3,19,0.17949341699977595,0.7227218749999338,109.25850175000005,0.86,0.8638132295719845
30,FHEDecisionTreeClassifier,3,4,5,0.07544812499963882,1.3005051669997556,315.0425332079999,0.9,0.9042145593869731
31,FHEDecisionTreeClassifier,3,4,6,0.07212762500012104,1.2696702090001963,315.9855937919997,0.896,0.8934426229508197
32,FHEDecisionTreeClassifier,3,4,7,0.08985595800004376,1.3313833329998488,309.49627708399976,0.868,0.8725868725868726
33,FHEDecisionTreeClassifier,3,4,8,0.09038308299977871,1.2910202090001803,297.8605289160005,0.884,0.8825910931174089
34,FHEDecisionTreeClassifier,3,4,9,0.10013170799993532,1.127267834000122,296.71814391599946,0.88,0.8648648648648649
35,FHEDecisionTreeClassifier,3,4,10,0.07795183300004283,1.0403295420001086,298.29554816700056,0.872,0.8832116788321168
36,FHEDecisionTreeClassifier,3,4,11,0.12023291600053199,1.219262333000188,304.5962806670004,0.864,0.8661417322834646
37,FHEDecisionTreeClassifier,3,4,12,0.07599041599951306,1.2279495000002498,290.645746917,0.884,0.8844621513944223
38,FHEDecisionTreeClassifier,3,4,13,0.10095608400024503,1.288125625000248,285.2852097089999,0.904,0.8947368421052632
39,FHEDecisionTreeClassifier,3,4,14,0.12911279200034187,1.219463999999789,281.1941275419995,0.856,0.8487394957983193
40,FHEDecisionTreeClassifier,3,4,15,0.09379412500038597,1.09404133299995,281.54572912500043,0.9,0.8987854251012146
41,FHEDecisionTreeClassifier,3,4,16,0.1424574169996049,1.1494849999999133,282.81011274999946,0.868,0.8725868725868726
42,FHEDecisionTreeClassifier,3,4,17,0.10148741699958919,1.3339767079996818,284.4045418329997,0.888,0.8793103448275862
43,FHEDecisionTreeClassifier,3,4,18,0.09893170899977122,1.2329434169996603,285.6282441250005,0.88,0.8760330578512396
44,FHEDecisionTreeClassifier,3,4,19,0.11428912500014121,1.2089514999997846,288.05484224999964,0.884,0.8905660377358491
45,FHEDecisionTreeClassifier,3,5,5,0.10124124999947526,1.2509875000005195,325.32116470799974,0.92,0.92
46,FHEDecisionTreeClassifier,3,5,6,0.08225995899920235,1.2173347919997468,323.4834209999999,0.9,0.8936170212765957
47,FHEDecisionTreeClassifier,3,5,7,0.0766120830003274,1.253703874999701,319.21429824999996,0.876,0.8702928870292888
48,FHEDecisionTreeClassifier,3,5,8,0.09134224999979779,1.256339042000036,323.9459613750005,0.904,0.8947368421052632
49,FHEDecisionTreeClassifier,3,5,9,0.09072637499957636,1.1792952079995302,328.43423445900044,0.9,0.8878923766816144
50,FHEDecisionTreeClassifier,3,5,10,0.14926041699982306,1.2969353339994996,329.3943945840001,0.856,0.856
51,FHEDecisionTreeClassifier,3,5,11,0.08442004099924816,1.2892915829997946,329.6785922500003,0.836,0.8161434977578476
52,FHEDecisionTreeClassifier,3,5,12,0.09720533300060197,1.0958210000007966,337.32442637500026,0.876,0.8774703557312253
53,FHEDecisionTreeClassifier,3,5,13,0.11718941700019059,1.3905675829992106,329.8079457919994,0.896,0.8879310344827587
54,FHEDecisionTreeClassifier,3,5,14,0.12700804099949892,1.0522498749996885,331.39669795900045,0.868,0.8465116279069768
55,FHEDecisionTreeClassifier,3,5,15,0.16912487499939743,1.1718275000002905,331.14237829099875,0.904,0.8974358974358975
56,FHEDecisionTreeClassifier,3,5,16,0.1649538340006984,1.1128999160009698,336.32747412500066,0.896,0.8925619834710744
57,FHEDecisionTreeClassifier,3,5,17,0.1342294160003803,1.3254047089994856,335.80053266699906,0.892,0.8888888888888888
58,FHEDecisionTreeClassifier,3,5,18,0.14164166699993075,1.3240662080006587,326.00731941699996,0.88,0.8695652173913043
59,FHEDecisionTreeClassifier,3,5,19,0.14962391600056435,0.994239749999906,320.51623825000024,0.908,0.9083665338645418
60,FHEDecisionTreeClassifier,3,6,5,0.10649087499950838,1.168351165999411,352.639810708999,0.904,0.9083969465648855
61,FHEDecisionTreeClassifier,3,6,6,0.08099312499871303,1.129329166999014,361.0695704999998,0.892,0.8906882591093117
62,FHEDecisionTreeClassifier,3,6,7,0.09040166699924157,1.45913366700006,360.6226223329995,0.872,0.8778625954198473
63,FHEDecisionTreeClassifier,3,6,8,0.128902291000486,1.2345540419992176,365.09875658300007,0.888,0.8870967741935484
64,FHEDecisionTreeClassifier,3,6,9,0.20423095899968757,1.188801042000705,351.1062211670014,0.912,0.912
65,FHEDecisionTreeClassifier,3,6,10,0.12896237499990093,1.1206912500001636,349.34074629099996,0.868,0.8705882352941177
66,FHEDecisionTreeClassifier,3,6,11,0.11138491599922418,1.150271167000028,353.5563807919989,0.856,0.8421052631578947
67,FHEDecisionTreeClassifier,3,6,12,0.11262662500121223,1.1325291669982107,356.9350332089998,0.888,0.8888888888888888
68,FHEDecisionTreeClassifier,3,6,13,0.2749983749999956,1.1590902080006344,361.0674562089989,0.908,0.9090909090909091
69,FHEDecisionTreeClassifier,3,6,14,0.09601199999997334,1.272070540999266,367.874113625001,0.852,0.8451882845188284
70,FHEDecisionTreeClassifier,3,6,15,0.13764008399994054,1.220215334000386,365.10809054100173,0.9,0.8987854251012146
71,FHEDecisionTreeClassifier,3,6,16,0.1246772910017171,1.1871407500002533,367.9287250000016,0.868,0.8735632183908046
72,FHEDecisionTreeClassifier,3,6,17,0.15743204200043692,1.5361551669993787,359.00587729200197,0.892,0.8957528957528957
73,FHEDecisionTreeClassifier,3,6,18,0.1391048330006015,1.3168428749995655,369.7491458330005,0.884,0.8806584362139918
74,FHEDecisionTreeClassifier,3,6,19,0.122630666999612,1.3314421670002048,377.5966765839985,0.9,0.900398406374502
75,FHEDecisionTreeClassifier,3,7,5,0.10358500000074855,1.2123267919996579,409.46629958300036,0.904,0.9083969465648855
76,FHEDecisionTreeClassifier,3,7,6,0.08334354199905647,1.2459433340009127,394.5504714999988,0.92,0.9159663865546218
77,FHEDecisionTreeClassifier,3,7,7,0.11021337500278605,1.242215458998544,397.95783554100126,0.868,0.8745247148288974
78,FHEDecisionTreeClassifier,3,7,8,0.1255358749986044,1.3981684999998834,390.1087822089976,0.884,0.8835341365461847
79,FHEDecisionTreeClassifier,3,7,9,0.17413020800086088,1.290126333002263,393.9234161660024,0.908,0.9076305220883534
80,FHEDecisionTreeClassifier,3,7,10,0.10298533300010604,1.4235184579993074,405.50988937500006,0.86,0.8736462093862816
81,FHEDecisionTreeClassifier,3,7,11,0.13249758399979328,1.4457860000002256,406.2223061250006,0.856,0.8421052631578947
82,FHEDecisionTreeClassifier,3,7,12,0.1514487079984974,1.42248500000278,400.91408845800106,0.884,0.8853754940711462
83,FHEDecisionTreeClassifier,3,7,13,0.14558841699908953,1.1546564999989641,398.10986737499843,0.904,0.905511811023622
84,FHEDecisionTreeClassifier,3,7,14,0.14061224999750266,1.3305006669979775,390.7557264169991,0.872,0.8518518518518519
85,FHEDecisionTreeClassifier,3,7,15,0.2013881249986298,1.3946454169999924,398.71538566600066,0.9,0.8987854251012146
86,FHEDecisionTreeClassifier,3,7,16,0.1108971659996314,1.347577459000604,395.1335129580002,0.864,0.8712121212121212
87,FHEDecisionTreeClassifier,3,7,17,0.1413328749986249,1.7012881660011772,404.71846645799815,0.884,0.8888888888888888
88,FHEDecisionTreeClassifier,3,7,18,0.172496625000349,1.3937851659975422,407.7376167090006,0.876,0.8734693877551021
89,FHEDecisionTreeClassifier,3,7,19,0.17425825000100303,1.5338115830018069,408.66183795899997,0.912,0.9140625
90,FHEDecisionTreeClassifier,3,8,5,0.11141995800062432,1.349399374998029,431.02634866699736,0.904,0.9083969465648855
91,FHEDecisionTreeClassifier,3,8,6,0.14849333299935097,1.0907904999985476,426.33816300000035,0.888,0.888
92,FHEDecisionTreeClassifier,3,8,7,0.11451970800044364,1.1779512920002162,423.78821041599804,0.868,0.8745247148288974
93,FHEDecisionTreeClassifier,3,8,8,0.11577804099943023,1.172207667001203,428.67654333300015,0.888,0.8870967741935484
94,FHEDecisionTreeClassifier,3,8,9,0.1268417920000502,1.2427787500018894,437.1393462499982,0.912,0.912
