,model,max_depth,n_bits,n_features,training_time,compilation_time,prediction_time,accuracy,f1
0,FHERandomForestClassifier,3,2,5,0.11764349999999979,0.8406404580000002,127.55850604200002,0.704,0.5934065934065934
1,FHERandomForestClassifier,3,2,6,0.08546420800001897,0.8269014999999911,128.12470545800002,0.732,0.6171428571428571
2,FHERandomForestClassifier,3,2,7,0.09742470800000547,0.7118777079999745,124.87652475000004,0.724,0.6310160427807486
3,FHERandomForestClassifier,3,2,8,0.08353629199996249,0.7728744589999792,125.52521858300003,0.716,0.5798816568047337
4,FHERandomForestClassifier,3,2,9,0.08759641599999668,0.7714208749999898,125.03027024999994,0.712,0.5813953488372093
5,FHERandomForestClassifier,3,2,10,0.07982620799998585,0.7338663330000372,123.63828316700005,0.684,0.5948717948717949
6,FHERandomForestClassifier,3,2,11,0.07480258299995057,0.8095079590000296,122.80911116699997,0.744,0.6483516483516484
7,FHERandomForestClassifier,3,2,12,0.08273299999996198,0.7719391249999035,129.02012108299994,0.732,0.6171428571428571
8,FHERandomForestClassifier,3,2,13,0.09443649999991521,0.8443686670000261,126.37878208300015,0.704,0.5747126436781609
9,FHERandomForestClassifier,3,2,14,0.11675941699991199,0.7725967500000479,128.54487599999993,0.768,0.6547619047619048
10,FHERandomForestClassifier,3,2,15,0.10707458299998507,0.7038737910002055,126.46518245799984,0.688,0.5357142857142857
11,FHERandomForestClassifier,3,2,16,0.12617754200005038,0.7323644999999033,129.95208587499997,0.644,0.46706586826347307
12,FHERandomForestClassifier,3,2,17,0.11285058299995399,0.7783269579999796,131.92176716699987,0.708,0.6010928961748634
13,FHERandomForestClassifier,3,2,18,0.09988837499986403,0.7599558330000491,131.86485187499989,0.716,0.5942857142857143
14,FHERandomForestClassifier,3,2,19,0.10711470899991582,0.754183624999996,129.01857862500015,0.724,0.6310160427807486
15,FHERandomForestClassifier,3,3,5,0.07131087499988098,0.690016291999882,136.81447924999975,0.884,0.8897338403041825
16,FHERandomForestClassifier,3,3,6,0.09248495900010312,0.6837787079998634,138.00376783299998,0.856,0.8615384615384616
17,FHERandomForestClassifier,3,3,7,0.07486516700009815,0.6330147079997914,135.9598059169998,0.852,0.8593155893536122
18,FHERandomForestClassifier,3,3,8,0.07871195899997474,0.7022499580002659,136.55172912499984,0.828,0.8326848249027238
19,FHERandomForestClassifier,3,3,9,0.12105366600007983,0.675983874999929,135.31243466599972,0.876,0.8830188679245283
20,FHERandomForestClassifier,3,3,10,0.07101487499994619,0.6993162499998107,134.63682416600022,0.86,0.8717948717948718
21,FHERandomForestClassifier,3,3,11,0.15006620900021517,0.5484657920001155,139.0739511669999,0.836,0.8452830188679246
22,FHERandomForestClassifier,3,3,12,0.08997679200001585,0.7387011249998068,138.49197058300024,0.848,0.8538461538461538
23,FHERandomForestClassifier,3,3,13,0.09737279199998738,0.6742426250002609,140.08851933300002,0.872,0.8805970149253731
24,FHERandomForestClassifier,3,3,14,0.10677416699991227,0.662950500000079,139.02833862499983,0.816,0.816
25,FHERandomForestClassifier,3,3,15,0.12477829199997359,0.64675566599999,137.20744879199992,0.888,0.8870967741935484
26,FHERandomForestClassifier,3,3,16,0.11729083299997001,0.7427123750003375,136.6065745830001,0.848,0.8592592592592593
27,FHERandomForestClassifier,3,3,17,0.13086100000009537,0.7604556249998495,140.9435880420001,0.852,0.862453531598513
28,FHERandomForestClassifier,3,3,18,0.20147795799994128,0.6510574589997304,136.61327600000004,0.872,0.8709677419354839
29,FHERandomForestClassifier,3,3,19,0.12847700000020268,0.6522454589999143,136.95224091699993,0.848,0.8623188405797102
